ID_produit,Nom_produit,Quantite_vendue,Prix_unitaire,Date_vente
80,Lunettes de soleil,,,13/12/2023
81,Montre,17.6,65.57,invalid_date
88,Robe,20.0,49.06,invalid_date
91,Pantalon,,91.31,12/05/2025
8,Robe,,,invalid_date
88,Chaussures,4.2,,invalid_date
88,Cravate,10.5,,25/11/2024
33,Chemise,,91.11,2024-01-19
57,Pull,,,invalid_date
33,Montre,17.1,,2024-03-07
31,Lunettes de soleil,,,2025-04-19
85,Lunettes de soleil,6.2,,23/08/2023
100,Cravate,,29.71,invalid_date
33,Chaussures,12.9,,2023-07-10
75,Pull,14.9,,invalid_date
54,Chaussures,,,2024-07-25
33,Montre,,,2024-08-21
60,Pantalon,3.7,,invalid_date
47,Pantalon,16.0,33.8,23/09/2024
48,Robe,,19.75,15/11/2023
4,Pull,18.4,,invalid_date
39,Lunettes de soleil,3.2,,19/03/2025
15,Pantalon,5.5,,invalid_date
96,Lunettes de soleil,12.2,89.69,22/11/2023
79,Lunettes de soleil,,,2023-12-24
57,Montre,,,invalid_date
83,Pull,,27.08,01/09/2023
12,Cravate,13.2,,2024-12-03
17,Cravate,2.3,62.77,07/08/2024
100,Chaussures,16.0,34.95,2024-08-11
70,Robe,16.2,69.5,2023-11-26
2,Pull,16.0,63.0,2024-05-23
34,Chemise,,57.35,16/10/2023
58,Pull,10.8,50.68,invalid_date
6,Robe,9.7,,20/04/2024
55,Pantalon,,16.61,15/04/2024
78,Chaussures,,,18/05/2024
77,Robe,,18.93,invalid_date
84,Cravate,9.2,,26/10/2024
54,Pantalon,,,2024-10-10
88,Montre,2.3,18.39,invalid_date
95,Pull,16.4,,invalid_date
16,Lunettes de soleil,,88.13,01/02/2025
77,Robe,7.7,,2025-03-21
14,Pull,,,invalid_date
29,Lunettes de soleil,17.1,,2023-10-16
24,Robe,,,2024-05-04
24,Chaussures,,16.26,2024-04-13
96,Cravate,,,15/05/2024
93,Pull,15.8,89.5,2023-12-02
97,Chemise,,,19/07/2023
78,Montre,8.9,77.94,07/02/2025
56,Pantalon,,,2025-03-21
29,Lunettes de soleil,19.7,,2024-07-22
99,Chaussures,,39.53,09/10/2024
96,Lunettes de soleil,,57.93,invalid_date
72,Pull,2.4,,2023-06-02
41,Lunettes de soleil,,,2025-05-10
42,Chaussures,,,2025-03-11
56,Pantalon,,,01/04/2024
96,Pull,5.2,16.87,invalid_date
66,Cravate,,41.6,2023-11-04
14,Chaussures,5.9,64.22,2024-03-28
99,Montre,,,invalid_date
41,Chaussures,,,23/05/2023
76,Chemise,7.7,,2024-03-20
8,Pull,16.8,68.02,invalid_date
77,Lunettes de soleil,9.8,50.48,09/05/2024
78,Montre,10.5,,invalid_date
11,Chaussures,,99.19,09/12/2024
48,Robe,,71.1,invalid_date
83,Pull,2.3,,30/11/2024
33,Chaussures,7.3,,invalid_date
90,Lunettes de soleil,3.5,,invalid_date
43,Chaussures,13.7,,invalid_date
47,Chemise,7.9,,13/12/2024
25,Cravate,20.0,16.94,invalid_date
99,Chemise,13.6,63.75,2024-12-22
24,Chaussures,14.7,46.98,29/06/2023
79,Robe,,31.06,26/05/2024
61,Cravate,,,05/05/2025
65,Lunettes de soleil,19.4,82.11,07/07/2024
7,Montre,17.6,74.03,05/07/2023
11,Chaussures,6.2,84.79,2024-06-19
58,Pull,,,2025-03-13
50,Pantalon,8.1,38.68,invalid_date
84,Pull,16.0,,invalid_date
18,Montre,9.5,91.53,20/11/2023
28,Chaussures,,,2024-03-30
39,Pantalon,,,2025-04-12
15,Montre,12.3,66.88,invalid_date
19,Robe,,,2024-08-25
86,Pantalon,,16.09,24/07/2023
61,Chemise,,32.83,13/10/2024
9,Pull,5.6,,2024-08-17
6,Pull,11.4,,invalid_date
62,Chaussures,16.4,,2025-05-17
38,Cravate,1.8,,23/10/2024
66,Lunettes de soleil,,32.8,21/01/2024
46,Chemise,,,14/12/2023
52,Montre,,40.51,31/08/2023
89,Montre,,,2024-10-24
56,Chaussures,,,invalid_date
38,Robe,,,12/05/2025
58,Chemise,,,17/05/2025
82,Chemise,,42.7,2023-07-17
19,Montre,1.7,,15/09/2024
50,Chemise,,,07/08/2023
98,Pantalon,,,2023-07-17
15,Chemise,,56.6,17/06/2024
100,Robe,14.4,,invalid_date
63,Cravate,3.3,,2025-05-15
88,Pull,13.7,,14/07/2023
21,Chaussures,16.1,20.92,2025-04-03
31,Montre,,52.07,invalid_date
12,Pantalon,,,invalid_date
10,Chaussures,19.5,,2025-02-27
100,Chaussures,15.6,48.94,2024-11-18
67,Chaussures,6.8,39.04,06/02/2025
67,Robe,,,2024-10-10
81,Robe,12.7,55.23,invalid_date
75,Chaussures,,85.83,2025-02-14
11,Chemise,,,invalid_date
82,Chemise,,,10/08/2023
32,Lunettes de soleil,6.7,71.98,03/04/2025
54,Montre,,,invalid_date
41,Pull,19.5,78.46,12/04/2025
31,Montre,,32.31,2023-08-13
38,Lunettes de soleil,,32.34,19/09/2023
74,Pull,4.6,,26/12/2023
40,Montre,,55.49,2024-09-02
75,Pull,,,12/02/2024
69,Chemise,,,invalid_date
47,Lunettes de soleil,,14.6,14/03/2025
71,Robe,,,invalid_date
88,Pantalon,3.4,,invalid_date
47,Chaussures,,55.01,2025-04-24
18,Pull,,23.4,30/06/2023
79,Pull,,,invalid_date
73,Robe,10.0,43.15,24/02/2025
75,Robe,16.1,,invalid_date
100,Cravate,,,2023-05-24
88,Cravate,1.6,,31/08/2023
54,Chaussures,8.8,,invalid_date
94,Chemise,14.4,,invalid_date
49,Pull,,,invalid_date
46,Robe,12.6,,invalid_date
39,Cravate,,79.41,invalid_date
91,Montre,,,19/07/2023
16,Lunettes de soleil,,83.65,08/11/2024
6,Robe,19.2,,invalid_date
33,Montre,,,2024-07-18
14,Cravate,5.6,67.42,2025-02-28
53,Pull,14.6,71.31,2024-08-16
71,Chaussures,,52.97,19/04/2024
42,Robe,13.3,68.71,invalid_date
95,Chemise,18.4,47.61,2024-01-16
51,Montre,,88.91,15/05/2025
73,Pantalon,,,2025-01-29
65,Montre,6.2,,invalid_date
33,Chaussures,,81.17,2024-02-23
79,Lunettes de soleil,,17.81,2024-11-01
18,Montre,7.1,,2024-10-21
58,Robe,,62.42,16/01/2025
84,Pull,14.2,,07/04/2025
21,Lunettes de soleil,,,01/04/2024
79,Cravate,5.2,,invalid_date
78,Pull,,78.16,2023-09-19
88,Pantalon,,17.03,2025-05-13
71,Cravate,11.9,,2025-03-23
88,Cravate,,,2025-02-01
59,Chaussures,,,invalid_date
40,Chemise,8.5,77.12,2024-04-06
55,Pull,14.3,94.11,14/12/2024
5,Robe,8.8,,04/02/2024
49,Montre,,43.81,invalid_date
45,Pantalon,,57.6,2024-04-05
97,Chemise,,,invalid_date
49,Cravate,,23.96,invalid_date
98,Pantalon,,65.34,2023-11-30
27,Pantalon,2.9,50.18,2023-09-22
95,Chemise,8.6,58.58,2024-11-16
65,Robe,,,2024-03-14
39,Chaussures,19.7,,2023-06-21
72,Chaussures,,60.03,10/11/2023
83,Lunettes de soleil,,,2023-10-24
39,Lunettes de soleil,,31.69,13/05/2024
91,Chaussures,16.3,,invalid_date
68,Chaussures,,28.3,28/01/2025
48,Pantalon,11.2,,invalid_date
78,Chemise,17.6,82.42,09/06/2023
27,Pull,6.8,29.06,invalid_date
16,Montre,18.4,45.7,invalid_date
42,Robe,,,invalid_date
64,Montre,,,2023-07-14
48,Pull,8.9,76.71,18/02/2024
71,Lunettes de soleil,6.6,,invalid_date
32,Montre,,,invalid_date
83,Montre,,,2025-03-07
70,Chemise,11.0,95.07,2024-02-03
53,Chaussures,17.0,16.12,2023-06-12
28,Montre,,69.34,2025-04-02
69,Lunettes de soleil,,,2023-10-07
65,Lunettes de soleil,16.3,19.63,invalid_date
20,Cravate,,,27/08/2024
11,Pull,,60.85,14/02/2024
88,Pantalon,13.4,,21/01/2025
71,Montre,2.1,73.26,24/04/2024
56,Pull,11.8,90.53,2024-09-03
28,Montre,6.2,,invalid_date
73,Chemise,,11.41,invalid_date
19,Lunettes de soleil,,24.62,invalid_date
50,Pull,8.3,81.14,invalid_date
96,Pull,,30.89,23/05/2023
78,Lunettes de soleil,,,09/05/2025
63,Cravate,,,2025-02-06
99,Robe,16.2,17.38,30/11/2024
92,Chaussures,,42.46,2025-05-21
40,Montre,,19.2,2024-12-14
56,Montre,,19.3,28/02/2024
71,Pantalon,,87.73,15/07/2023
53,Lunettes de soleil,15.8,61.48,invalid_date
49,Chaussures,,34.16,2024-02-02
22,Lunettes de soleil,,53.58,18/10/2024
33,Cravate,,63.44,26/08/2023
14,Chaussures,,,20/04/2025
57,Pull,9.2,37.04,18/06/2024
41,Chaussures,,,invalid_date
32,Pull,,42.85,invalid_date
70,Chaussures,14.0,,invalid_date
27,Montre,16.2,,invalid_date
64,Chaussures,13.0,32.74,invalid_date
55,Lunettes de soleil,,,invalid_date
5,Pull,14.3,19.84,invalid_date
86,Pull,4.2,,23/12/2024
56,Pantalon,,29.98,04/10/2023
48,Lunettes de soleil,9.8,41.05,06/08/2024
14,Robe,8.9,20.45,01/04/2024
40,Pull,9.7,,27/02/2025
13,Montre,,,2023-05-22
91,Pantalon,,68.32,invalid_date
32,Chaussures,,,2024-04-19
52,Chaussures,,45.6,04/09/2024
76,Lunettes de soleil,8.4,28.52,invalid_date
14,Chaussures,8.0,,invalid_date
63,Pull,,,27/10/2024
59,Chaussures,,92.68,invalid_date
18,Pull,,,invalid_date
19,Lunettes de soleil,8.9,,2025-04-20
63,Chaussures,,36.0,30/09/2023
58,Chemise,17.4,53.61,26/07/2023
72,Montre,,,25/06/2024
22,Pantalon,11.7,,2024-10-18
69,Robe,,,invalid_date
66,Pantalon,,,invalid_date
97,Chemise,,,2024-12-25
95,Cravate,6.7,,2024-10-25
57,Pantalon,15.7,,invalid_date
79,Lunettes de soleil,4.2,80.64,2023-10-23
73,Pull,11.1,,26/06/2023
74,Robe,19.1,,2023-11-28
36,Chaussures,14.3,,2024-09-07
98,Lunettes de soleil,,,17/07/2023
10,Pantalon,,,07/04/2024
63,Pull,12.1,,invalid_date
86,Pull,,,2024-08-11
64,Robe,,40.4,invalid_date
63,Pull,18.0,,2024-03-15
16,Chaussures,9.4,,2024-03-27
89,Chaussures,,,2023-09-13
84,Pull,,69.81,2024-11-06
51,Robe,14.8,48.63,invalid_date
13,Chemise,5.1,21.94,invalid_date
88,Montre,,,invalid_date
17,Montre,,18.04,2025-01-15
41,Pull,17.7,44.44,invalid_date
87,Chaussures,2.3,64.93,12/11/2024
45,Cravate,12.9,,2024-06-27
12,Pantalon,3.7,,27/07/2024
55,Pull,16.0,34.93,2023-12-01
71,Robe,15.8,,2025-03-10
67,Cravate,,68.16,02/09/2023
50,Pantalon,5.6,57.55,16/05/2024
41,Chaussures,,42.89,07/07/2024
99,Pantalon,1.3,11.24,2024-07-29
8,Lunettes de soleil,,,2024-01-23
82,Chaussures,,17.11,2025-04-13
69,Pull,8.4,,invalid_date
31,Chemise,,20.44,13/04/2025
86,Chaussures,3.3,73.13,17/04/2024
45,Robe,4.2,,invalid_date
16,Chemise,,34.48,02/05/2024
92,Pantalon,,14.99,22/09/2023
21,Robe,15.7,30.56,2024-12-19
2,Cravate,,44.47,2024-05-24
5,Lunettes de soleil,5.3,,25/12/2024
10,Pull,3.3,26.14,04/03/2025
9,Montre,,,2024-09-28
48,Cravate,,76.56,15/01/2025
48,Montre,20.0,75.92,2024-06-29
1,Lunettes de soleil,,67.23,23/11/2023
1,Lunettes de soleil,,19.36,27/04/2024
63,Chemise,19.5,74.05,2023-07-21
30,Lunettes de soleil,,51.26,invalid_date
13,Chaussures,,16.73,06/02/2024
85,Chaussures,,,invalid_date
95,Pull,,31.03,2024-07-14
100,Pantalon,4.0,,16/09/2023
16,Pull,19.3,,14/03/2024
16,Pantalon,,84.37,2024-11-11
42,Chaussures,2.7,,invalid_date
7,Robe,5.9,,08/04/2024
72,Cravate,2.8,82.35,2024-04-02
2,Chemise,16.8,,17/05/2024
88,Pantalon,,92.57,2024-04-08
9,Cravate,,82.84,26/02/2025
16,Chemise,18.9,,invalid_date
51,Montre,,25.55,2025-04-23
36,Robe,9.5,13.12,invalid_date
38,Montre,,,17/03/2025
18,Lunettes de soleil,4.8,66.77,05/01/2025
92,Pull,,,12/03/2024
35,Chaussures,1.5,,2024-05-26
61,Pull,15.6,97.66,2024-02-19
85,Cravate,6.1,78.76,invalid_date
50,Pull,18.8,,invalid_date
90,Pull,18.4,,invalid_date
73,Chaussures,11.7,,invalid_date
40,Chaussures,10.3,15.06,2024-12-12
68,Montre,1.0,,invalid_date
23,Pull,2.1,62.79,2025-04-18
68,Pull,,,invalid_date
13,Pull,6.7,,invalid_date
63,Pull,,30.09,13/06/2023
40,Robe,3.4,,invalid_date
5,Chaussures,12.4,67.57,30/10/2024
19,Pull,15.2,,2025-01-30
82,Pantalon,,,2024-12-04
32,Pantalon,7.7,74.84,19/05/2024
57,Lunettes de soleil,,,29/08/2023
70,Lunettes de soleil,,80.99,2024-09-16
58,Pantalon,16.2,,25/04/2025
14,Pantalon,,24.48,invalid_date
12,Pull,,,invalid_date
22,Lunettes de soleil,4.0,39.8,26/07/2023
90,Robe,,31.38,18/04/2024
74,Montre,,10.34,25/03/2025
85,Montre,4.8,,2024-05-14
61,Pantalon,,,2023-06-30
83,Lunettes de soleil,,,2024-03-11
34,Montre,9.8,85.34,2023-11-02
97,Pantalon,,,invalid_date
30,Chemise,,,invalid_date
31,Montre,,91.25,invalid_date
74,Chaussures,,25.56,2024-12-26
25,Chaussures,1.8,,2024-04-13
81,Chaussures,,38.78,2025-02-28
50,Lunettes de soleil,,56.77,invalid_date
80,Lunettes de soleil,3.1,23.34,2024-12-23
73,Pantalon,,,17/02/2024
84,Montre,,,07/10/2024
19,Lunettes de soleil,,72.15,invalid_date
61,Robe,18.0,,22/06/2023
36,Montre,17.3,97.52,2024-12-27
39,Montre,,,invalid_date
83,Pantalon,4.6,,invalid_date
63,Pull,16.6,,2024-09-15
100,Chemise,4.3,85.33,2023-11-23
59,Chemise,18.4,,invalid_date
51,Pantalon,13.9,,2023-08-18
61,Pull,,77.41,17/05/2024
4,Lunettes de soleil,1.9,87.14,invalid_date
27,Robe,13.4,87.82,03/03/2024
17,Chaussures,12.4,,invalid_date
91,Robe,,,22/12/2024
28,Montre,,62.6,invalid_date
85,Pull,,36.86,16/02/2025
9,Pull,,,invalid_date
92,Robe,4.6,,invalid_date
41,Chaussures,,,12/05/2025
52,Lunettes de soleil,15.0,40.89,invalid_date
69,Montre,,55.66,invalid_date
72,Chaussures,,,invalid_date
72,Chaussures,,68.9,23/10/2023
29,Robe,,,23/08/2024
16,Montre,2.0,52.5,invalid_date
16,Lunettes de soleil,,14.87,2024-09-20
26,Pull,,22.89,2023-08-09
63,Pull,13.0,38.21,2025-01-11
58,Robe,5.0,61.87,03/11/2024
98,Pantalon,,,05/02/2025
62,Lunettes de soleil,1.1,75.76,29/01/2025
97,Cravate,1.3,66.4,2024-08-03
89,Pull,6.9,,2023-06-22
9,Chemise,,,18/04/2024
88,Chaussures,,42.33,2024-10-16
52,Chemise,5.3,29.01,invalid_date
65,Chaussures,3.3,,invalid_date
80,Chemise,12.3,69.58,2023-05-31
89,Pantalon,,,18/02/2025
90,Chaussures,4.9,37.1,invalid_date
67,Robe,12.8,47.69,invalid_date
93,Pantalon,6.4,54.8,13/04/2025
67,Cravate,,36.58,invalid_date
64,Cravate,,39.75,2024-11-21
86,Pantalon,,23.42,invalid_date
10,Pantalon,18.2,,30/06/2024
60,Chemise,2.9,,17/12/2023
87,Pull,9.1,18.55,2024-09-11
18,Chaussures,,,invalid_date
12,Pull,16.5,,31/05/2024
35,Lunettes de soleil,,81.99,2024-05-17
17,Chemise,19.6,,invalid_date
87,Montre,,80.12,invalid_date
94,Chaussures,,,13/03/2025
6,Pantalon,,11.11,invalid_date
44,Pantalon,9.2,,2025-05-16
72,Chemise,1.2,,05/04/2025
22,Pantalon,,,2024-05-06
65,Cravate,,46.29,2024-12-24
59,Montre,,,07/09/2024
41,Pantalon,19.6,,2024-10-21
72,Chemise,,90.11,invalid_date
86,Montre,,84.28,12/03/2025
43,Montre,,74.43,2024-01-29
98,Cravate,,,invalid_date
67,Pull,14.3,,2024-02-21
92,Lunettes de soleil,3.0,,2023-12-08
59,Cravate,14.6,78.14,invalid_date
87,Pantalon,,51.16,16/11/2024
1,Chemise,,,invalid_date
100,Chaussures,14.1,75.74,2024-07-26
50,Pull,,47.68,17/10/2023
51,Pull,,82.43,25/11/2023
78,Robe,,74.07,2024-12-01
27,Robe,14.0,98.32,invalid_date
70,Pull,,,invalid_date
96,Robe,,82.75,2024-11-08
49,Chaussures,2.0,27.99,24/11/2024
88,Robe,3.8,,2024-06-06
97,Chemise,,19.22,invalid_date
83,Lunettes de soleil,,72.36,05/01/2024
50,Lunettes de soleil,,96.92,2023-11-10
96,Robe,,,invalid_date
70,Cravate,15.7,36.48,invalid_date
10,Chaussures,19.3,,03/03/2024
72,Robe,,,invalid_date
20,Chemise,,,13/02/2024
74,Pull,,57.29,invalid_date
9,Chaussures,,18.28,2024-07-22
85,Pull,,,invalid_date
97,Chemise,,50.11,2024-05-08
88,Pull,8.2,,2024-01-15
67,Pull,,,invalid_date
25,Pull,10.8,25.07,invalid_date
9,Cravate,13.7,,2024-01-22
27,Lunettes de soleil,13.3,77.22,2024-12-19
59,Pull,1.7,,invalid_date
10,Cravate,,,17/10/2023
41,Chemise,8.4,58.14,invalid_date
75,Chemise,14.3,42.19,22/12/2023
88,Robe,,,21/08/2024
51,Chemise,10.0,,invalid_date
38,Chaussures,,96.17,invalid_date
72,Chaussures,3.3,,invalid_date
71,Pantalon,,29.06,2023-10-19
24,Cravate,,27.49,invalid_date
73,Chemise,,68.02,11/01/2024
86,Pantalon,5.8,,21/11/2024
46,Chaussures,13.8,19.0,2024-07-09
41,Montre,,72.41,invalid_date
73,Pull,,,2023-07-03
29,Lunettes de soleil,,,13/11/2024
60,Montre,,53.83,2023-08-28
83,Pantalon,17.0,90.22,26/12/2024
94,Pantalon,14.8,86.46,invalid_date
75,Lunettes de soleil,15.6,,invalid_date
70,Montre,13.4,42.92,invalid_date
94,Robe,3.5,45.71,invalid_date
31,Chaussures,15.4,50.16,invalid_date
73,Chaussures,,94.53,2023-10-12
98,Montre,,43.25,invalid_date
27,Pull,,89.34,invalid_date
42,Pantalon,,,invalid_date
70,Chaussures,,42.88,invalid_date
33,Lunettes de soleil,19.5,,18/07/2023
63,Montre,17.9,55.17,21/09/2024
22,Cravate,,29.04,2024-11-05
47,Pantalon,,83.01,14/09/2023
87,Montre,10.1,,2025-02-10
32,Chemise,3.4,22.13,invalid_date
19,Chemise,4.2,,invalid_date
73,Chemise,,95.25,04/01/2025
78,Montre,17.5,,invalid_date
19,Chaussures,,,25/01/2025
77,Pantalon,,21.9,2024-09-13
67,Lunettes de soleil,16.7,25.97,invalid_date
65,Pantalon,2.8,91.18,invalid_date
84,Lunettes de soleil,,,2025-04-26
62,Lunettes de soleil,7.7,,20/03/2025
99,Cravate,18.3,,19/04/2024
25,Chemise,14.5,62.02,invalid_date
1,Lunettes de soleil,,46.8,2024-09-15
55,Robe,,,invalid_date
51,Cravate,,,03/01/2025
40,Pull,,76.22,invalid_date
30,Montre,15.9,,13/12/2023
71,Chemise,4.1,82.39,24/07/2023
77,Lunettes de soleil,,29.96,invalid_date
5,Lunettes de soleil,,,invalid_date
77,Chemise,19.0,,2023-07-19
26,Robe,4.7,65.37,03/04/2024
31,Chemise,19.5,,07/11/2024
86,Lunettes de soleil,8.7,56.6,2024-08-25
71,Robe,,,2024-01-03
78,Cravate,,,2023-11-17
53,Pantalon,,40.6,invalid_date
33,Robe,,60.69,19/03/2025
