ID_produit,Nom_produit,Quantite_vendue,Prix_unitaire,Date_vente,Total_HT,Total_HT_normalise
39,Chaussures,20.0,50.0,2022-01-07,1000.0,0.5078962632040331
40,Cravate,12.0,15.0,2022-01-08,180.0,0.09142132737672597
41,Robe,15.0,45.0,2022-01-09,675.0,0.3428299776627224
43,Pantalon,8.0,35.0,2022-01-06,280.0,0.1422109536971293
45,Lunettes de soleil,10.0,40.0,2022-01-12,400.0,0.20315850528161328
47,Chaussures,0.0,60.0,2022-01-14,0.0,0.0
48,Montre,25.0,55.0,2022-01-15,1375.0,0.6983573619055456
49,Chemise,10.0,25.0,2022-01-05,250.0,0.12697406580100828
50,Pantalon,8.0,35.0,2022-01-06,280.0,0.1422109536971293
51,Chaussures,20.0,50.0,2022-01-07,1000.0,0.5078962632040331
52,Cravate,12.0,15.0,2022-01-08,180.0,0.09142132737672597
53,Robe,15.0,45.0,2022-01-09,675.0,0.3428299776627224
55,Pantalon,8.0,35.0,2022-01-06,280.0,0.1422109536971293
57,Lunettes de soleil,10.0,40.0,2022-01-12,400.0,0.20315850528161328
59,Chaussures,0.0,60.0,2022-01-14,0.0,0.0
60,Montre,25.0,55.0,2022-01-15,1375.0,0.6983573619055456
61,Chemise,10.0,25.0,2022-01-05,250.0,0.12697406580100828
62,Pantalon,8.0,35.0,2022-01-06,280.0,0.1422109536971293
63,Chaussures,20.0,50.0,2022-01-07,1000.0,0.5078962632040331
64,Cravate,12.0,15.0,2022-01-08,180.0,0.09142132737672597
65,Robe,15.0,45.0,2022-01-09,675.0,0.3428299776627224
82,Pantalon,,32.04,invalid_date,,
14,Pantalon,12.2,12.68,2023-06-10,154.696,0.07856952033261111
98,Chaussures,,35.01,07/09/2023,,
80,Pull,12.0,14.12,18/07/2024,169.44,0.08605794283729137
48,Pull,,73.16,invalid_date,,
82,Cravate,14.0,30.61,18/11/2023,428.53999999999996,0.21765386463345635
75,Lunettes de soleil,,42.58,invalid_date,,
64,Pantalon,15.4,23.76,invalid_date,365.90400000000005,0.1858412742914086
55,Pantalon,,57.62,invalid_date,,
65,Cravate,3.9,58.54,invalid_date,228.30599999999998,0.11595576426705999
98,Chaussures,,95.22,23/12/2023,,
84,Pull,,20.89,2025-01-04,,
44,Chemise,12.2,62.96,2023-08-09,768.112,0.3901212145221763
91,Chemise,5.3,87.37,invalid_date,463.06100000000004,0.23518695153552283
53,Montre,17.4,70.6,2023-12-13,1228.4399999999998,0.6239200855703624
52,Pull,16.2,32.38,invalid_date,524.556,0.2664200322412548
58,Chaussures,,51.64,11/07/2024,,
71,Pantalon,2.0,97.21,2023-08-26,194.42,0.09874519149212813
53,Montre,,91.22,22/07/2023,,
25,Robe,5.1,62.13,invalid_date,316.863,0.16093353364761956
41,Chemise,,55.26,2024-09-13,,
66,Pantalon,17.2,63.55,26/02/2024,1093.06,0.5551610894578005
34,Lunettes de soleil,,51.15,2023-06-26,,
59,Pantalon,2.4,55.53,11/01/2025,133.272,0.0676883507897279
84,Chemise,,93.86,2025-03-16,,
34,Pantalon,17.9,34.51,invalid_date,617.7289999999999,0.3137422507727642
12,Lunettes de soleil,16.8,10.32,invalid_date,173.376,0.08805702252926245
34,Chaussures,,60.48,2025-02-27,,
89,Chaussures,,62.43,04/03/2024,,
17,Chemise,6.9,90.9,invalid_date,627.21,0.3185576152442017
32,Pantalon,,97.65,2024-10-23,,
86,Cravate,6.1,44.43,06/10/2024,271.02299999999997,0.13765156894234667
29,Cravate,,41.47,2023-07-16,,
83,Lunettes de soleil,,94.53,08/12/2024,,
96,Chaussures,,46.55,28/01/2024,,
85,Pull,2.8,70.55,2023-11-15,197.54,0.10032982783332471
19,Chemise,,65.01,05/02/2025,,
54,Cravate,,54.49,2024-01-22,,
84,Chemise,18.0,80.06,2023-12-15,1441.08,0.731919146978068
90,Montre,2.0,92.57,30/04/2025,185.14,0.0940319141695947
70,Pantalon,3.6,44.47,invalid_date,160.092,0.08131012856886008
96,Cravate,,49.23,31/07/2024,,
44,Lunettes de soleil,,92.76,12/12/2023,,
36,Lunettes de soleil,5.8,52.33,27/03/2024,303.51399999999995,0.1541536264301089
29,Pantalon,15.8,77.88,2024-02-27,1230.504,0.6249683834576156
3,Chaussures,,70.25,20/06/2024,,
90,Robe,15.6,64.53,2024-06-08,1006.668,0.5112829154870777
79,Lunettes de soleil,,86.59,19/05/2024,,
2,Cravate,,53.97,invalid_date,,
61,Montre,9.5,18.37,31/10/2024,174.51500000000001,0.08863551637305185
39,Chemise,14.5,34.69,invalid_date,503.005,0.2554743598729447
38,Chaussures,,19.23,invalid_date,,
37,Montre,,26.59,21/09/2023,,
62,Pantalon,,54.26,2024-05-08,,
76,Lunettes de soleil,6.8,64.87,2024-06-13,441.11600000000004,0.22404116803951032
81,Cravate,6.0,24.14,invalid_date,144.84,0.07356369476247217
88,Cravate,18.6,48.26,invalid_date,897.6360000000001,0.45590597011741557
6,Chaussures,,92.45,invalid_date,,
42,Pantalon,,87.84,invalid_date,,
2,Lunettes de soleil,2.8,51.53,invalid_date,144.284,0.07328130444013072
62,Montre,5.6,44.52,2025-04-02,249.312,0.12662463317192393
71,Lunettes de soleil,,88.26,invalid_date,,
49,Lunettes de soleil,19.8,54.58,2025-01-05,1080.684,0.5488753653043874
81,Montre,17.6,65.57,invalid_date,1154.032,0.5861285404178768
88,Robe,20.0,49.06,invalid_date,981.2,0.4983478134557974
91,Pantalon,,91.31,12/05/2025,,
33,Chemise,,91.11,2024-01-19,,
100,Cravate,,29.71,invalid_date,,
47,Pantalon,16.0,33.8,23/09/2024,540.8,0.2746702991407411
48,Robe,,19.75,15/11/2023,,
96,Lunettes de soleil,12.2,89.69,22/11/2023,1094.2179999999998,0.5557492333305907
83,Pull,,27.08,01/09/2023,,
17,Cravate,2.3,62.77,07/08/2024,144.371,0.07332549141502948
100,Chaussures,16.0,34.95,2024-08-11,559.2,0.2840155903836954
70,Robe,16.2,69.5,2023-11-26,1125.8999999999999,0.5718404027414209
2,Pull,16.0,63.0,2024-05-23,1008.0,0.5119594333096654
34,Chemise,,57.35,16/10/2023,,
58,Pull,10.8,50.68,invalid_date,547.344,0.27799397228714834
55,Pantalon,,16.61,15/04/2024,,
77,Robe,,18.93,invalid_date,,
88,Montre,2.3,18.39,invalid_date,42.297,0.02148248824474099
16,Lunettes de soleil,,88.13,01/02/2025,,
24,Chaussures,,16.26,2024-04-13,,
93,Pull,15.8,89.5,2023-12-02,1414.1000000000001,0.7182161057968234
78,Montre,8.9,77.94,07/02/2025,693.666,0.3523103693116889
99,Chaussures,,39.53,09/10/2024,,
96,Lunettes de soleil,,57.93,invalid_date,,
96,Pull,5.2,16.87,invalid_date,87.724,0.044554691793310605
66,Cravate,,41.6,2023-11-04,,
14,Chaussures,5.9,64.22,2024-03-28,378.898,0.19244087833548176
8,Pull,16.8,68.02,invalid_date,1142.7359999999999,0.580391344228724
77,Lunettes de soleil,9.8,50.48,09/05/2024,494.704,0.251258312992088
11,Chaussures,,99.19,09/12/2024,,
48,Robe,,71.1,invalid_date,,
25,Cravate,20.0,16.94,invalid_date,338.8,0.17207525397352644
99,Chemise,13.6,63.75,2024-12-22,867.0,0.44034606019789674
24,Chaussures,14.7,46.98,29/06/2023,690.6059999999999,0.3507562067462845
79,Robe,,31.06,26/05/2024,,
65,Lunettes de soleil,19.4,82.11,07/07/2024,1592.934,0.8090452261306533
7,Montre,17.6,74.03,05/07/2023,1302.928,0.6617522624239046
11,Chaussures,6.2,84.79,2024-06-19,525.6980000000001,0.2670000497738339
50,Pantalon,8.1,38.68,invalid_date,313.308,0.15912796243192923
18,Montre,9.5,91.53,20/11/2023,869.535,0.441633577225119
15,Montre,12.3,66.88,invalid_date,822.624,0.4178076556219546
86,Pantalon,,16.09,24/07/2023,,
61,Chemise,,32.83,13/10/2024,,
66,Lunettes de soleil,,32.8,21/01/2024,,
52,Montre,,40.51,31/08/2023,,
82,Chemise,,42.7,2023-07-17,,
15,Chemise,,56.6,17/06/2024,,
21,Chaussures,16.1,20.92,2025-04-03,336.81200000000007,0.17106555620227687
31,Montre,,52.07,invalid_date,,
100,Chaussures,15.6,48.94,2024-11-18,763.4639999999999,0.38776051269080397
67,Chaussures,6.8,39.04,06/02/2025,265.472,0.1348322367853011
81,Robe,12.7,55.23,invalid_date,701.4209999999999,0.3562491048328361
75,Chaussures,,85.83,2025-02-14,,
32,Lunettes de soleil,6.7,71.98,03/04/2025,482.266,0.24494109927035626
41,Pull,19.5,78.46,12/04/2025,1529.9699999999998,0.7770660458142745
31,Montre,,32.31,2023-08-13,,
38,Lunettes de soleil,,32.34,19/09/2023,,
40,Montre,,55.49,2024-09-02,,
47,Lunettes de soleil,,14.6,14/03/2025,,
47,Chaussures,,55.01,2025-04-24,,
18,Pull,,23.4,30/06/2023,,
73,Robe,10.0,43.15,24/02/2025,431.5,0.21915723757254033
39,Cravate,,79.41,invalid_date,,
16,Lunettes de soleil,,83.65,08/11/2024,,
14,Cravate,5.6,67.42,2025-02-28,377.55199999999996,0.19175724996520913
53,Pull,14.6,71.31,2024-08-16,1041.126,0.5287840049245622
71,Chaussures,,52.97,19/04/2024,,
42,Robe,13.3,68.71,invalid_date,913.843,0.4641374448551633
95,Chemise,18.4,47.61,2024-01-16,876.0239999999999,0.4449293160770499
51,Montre,,88.91,15/05/2025,,
33,Chaussures,,81.17,2024-02-23,,
79,Lunettes de soleil,,17.81,2024-11-01,,
58,Robe,,62.42,16/01/2025,,
78,Pull,,78.16,2023-09-19,,
88,Pantalon,,17.03,2025-05-13,,
40,Chemise,8.5,77.12,2024-04-06,655.52,0.33293615845550784
55,Pull,14.3,94.11,14/12/2024,1345.7730000000001,0.6835130778208814
49,Montre,,43.81,invalid_date,,
45,Pantalon,,57.6,2024-04-05,,
49,Cravate,,23.96,invalid_date,,
98,Pantalon,,65.34,2023-11-30,,
27,Pantalon,2.9,50.18,2023-09-22,145.522,0.07391008001397731
95,Chemise,8.6,58.58,2024-11-16,503.78799999999995,0.25587204264703345
72,Chaussures,,60.03,10/11/2023,,
39,Lunettes de soleil,,31.69,13/05/2024,,
68,Chaussures,,28.3,28/01/2025,,
78,Chemise,17.6,82.42,09/06/2023,1450.592,0.736750256233665
27,Pull,6.8,29.06,invalid_date,197.60799999999998,0.10036436477922257
16,Montre,18.4,45.7,invalid_date,840.88,0.4270798098030074
48,Pull,8.9,76.71,18/02/2024,682.7189999999999,0.3467504289183943
70,Chemise,11.0,95.07,2024-02-03,1045.77,0.5311426751708818
53,Chaussures,17.0,16.12,2023-06-12,274.04,0.13918389196843325
28,Montre,,69.34,2025-04-02,,
65,Lunettes de soleil,16.3,19.63,invalid_date,319.969,0.16251105944113128
11,Pull,,60.85,14/02/2024,,
71,Montre,2.1,73.26,24/04/2024,153.846,0.07813780850888769
56,Pull,11.8,90.53,2024-09-03,1068.2540000000001,0.5425622147527613
73,Chemise,,11.41,invalid_date,,
19,Lunettes de soleil,,24.62,invalid_date,,
50,Pull,8.3,81.14,invalid_date,673.4620000000001,0.34204883320991464
96,Pull,,30.89,23/05/2023,,
99,Robe,16.2,17.38,30/11/2024,281.556,0.14300124028267475
92,Chaussures,,42.46,2025-05-21,,
40,Montre,,19.2,2024-12-14,,
56,Montre,,19.3,28/02/2024,,
71,Pantalon,,87.73,15/07/2023,,
53,Lunettes de soleil,15.8,61.48,invalid_date,971.384,0.49336230373618656
49,Chaussures,,34.16,2024-02-02,,
22,Lunettes de soleil,,53.58,18/10/2024,,
33,Cravate,,63.44,26/08/2023,,
57,Pull,9.2,37.04,18/06/2024,340.768,0.17307479381951196
32,Pull,,42.85,invalid_date,,
64,Chaussures,13.0,32.74,invalid_date,425.62,0.2161708075449006
5,Pull,14.3,19.84,invalid_date,283.712,0.14409626462614267
56,Pantalon,,29.98,04/10/2023,,
48,Lunettes de soleil,9.8,41.05,06/08/2024,402.29,0.20432158772435052
14,Robe,8.9,20.45,01/04/2024,182.005,0.09243965938445006
91,Pantalon,,68.32,invalid_date,,
52,Chaussures,,45.6,04/09/2024,,
76,Lunettes de soleil,8.4,28.52,invalid_date,239.568,0.12167569198326382
59,Chaussures,,92.68,invalid_date,,
63,Chaussures,,36.0,30/09/2023,,
58,Chemise,17.4,53.61,26/07/2023,932.814,0.47377274486440696
79,Lunettes de soleil,4.2,80.64,2023-10-23,338.68800000000005,0.1720183695920476
64,Robe,,40.4,invalid_date,,
84,Pull,,69.81,2024-11-06,,
51,Robe,14.8,48.63,invalid_date,719.724,0.3655451301382596
13,Chemise,5.1,21.94,invalid_date,111.894,0.05683054447495209
17,Montre,,18.04,2025-01-15,,
41,Pull,17.7,44.44,invalid_date,786.588,0.399505105881134
87,Chaussures,2.3,64.93,12/11/2024,149.339,0.07584872005062711
55,Pull,16.0,34.93,2023-12-01,558.88,0.28385306357947004
67,Cravate,,68.16,02/09/2023,,
50,Pantalon,5.6,57.55,16/05/2024,322.28,0.16368480770539579
41,Chaussures,,42.89,07/07/2024,,
99,Pantalon,1.3,11.24,2024-07-29,14.612,0.007421380197937333
82,Chaussures,,17.11,2025-04-13,,
31,Chemise,,20.44,13/04/2025,,
86,Chaussures,3.3,73.13,17/04/2024,241.32899999999998,0.1225700973027661
16,Chemise,,34.48,02/05/2024,,
92,Pantalon,,14.99,22/09/2023,,
21,Robe,15.7,30.56,2024-12-19,479.792,0.24368456391518947
2,Cravate,,44.47,2024-05-24,,
10,Pull,3.3,26.14,04/03/2025,86.262,0.04381214745650631
48,Cravate,,76.56,15/01/2025,,
48,Montre,20.0,75.92,2024-06-29,1518.4,0.7711896860490041
1,Lunettes de soleil,,67.23,23/11/2023,,
1,Lunettes de soleil,,19.36,27/04/2024,,
63,Chemise,19.5,74.05,2023-07-21,1443.975,0.7333895066600438
30,Lunettes de soleil,,51.26,invalid_date,,
13,Chaussures,,16.73,06/02/2024,,
95,Pull,,31.03,2024-07-14,,
16,Pantalon,,84.37,2024-11-11,,
72,Cravate,2.8,82.35,2024-04-02,230.57999999999996,0.11711072036958595
88,Pantalon,,92.57,2024-04-08,,
9,Cravate,,82.84,26/02/2025,,
51,Montre,,25.55,2025-04-23,,
36,Robe,9.5,13.12,invalid_date,124.63999999999999,0.0633041902457507
18,Lunettes de soleil,4.8,66.77,05/01/2025,320.496,0.1627787207718398
61,Pull,15.6,97.66,2024-02-19,1523.4959999999999,0.7737779254062916
85,Cravate,6.1,78.76,invalid_date,480.436,0.24401164910869289
40,Chaussures,10.3,15.06,2024-12-12,155.11800000000002,0.07878385255568322
23,Pull,2.1,62.79,2025-04-18,131.859,0.06697069336982062
63,Pull,,30.09,13/06/2023,,
5,Chaussures,12.4,67.57,30/10/2024,837.8679999999999,0.42555002625823685
32,Pantalon,7.7,74.84,19/05/2024,576.268,0.2926843638040618
70,Lunettes de soleil,,80.99,2024-09-16,,
14,Pantalon,,24.48,invalid_date,,
22,Lunettes de soleil,4.0,39.8,26/07/2023,159.2,0.08085708510208207
90,Robe,,31.38,18/04/2024,,
74,Montre,,10.34,25/03/2025,,
34,Montre,9.8,85.34,2023-11-02,836.3320000000001,0.4247698975979555
31,Montre,,91.25,invalid_date,,
74,Chaussures,,25.56,2024-12-26,,
81,Chaussures,,38.78,2025-02-28,,
50,Lunettes de soleil,,56.77,invalid_date,,
80,Lunettes de soleil,3.1,23.34,2024-12-23,72.354,0.036748326227864614
19,Lunettes de soleil,,72.15,invalid_date,,
36,Montre,17.3,97.52,2024-12-27,1687.096,0.8568697540664716
100,Chemise,4.3,85.33,2023-11-23,366.919,0.18635678899856065
61,Pull,,77.41,17/05/2024,,
4,Lunettes de soleil,1.9,87.14,invalid_date,165.566,0.08409035271363896
27,Robe,13.4,87.82,03/03/2024,1176.788,0.5976862277833478
28,Montre,,62.6,invalid_date,,
85,Pull,,36.86,16/02/2025,,
52,Lunettes de soleil,15.0,40.89,invalid_date,613.35,0.3115181730361938
69,Montre,,55.66,invalid_date,,
72,Chaussures,,68.9,23/10/2023,,
16,Montre,2.0,52.5,invalid_date,105.0,0.053329107636423484
16,Lunettes de soleil,,14.87,2024-09-20,,
26,Pull,,22.89,2023-08-09,,
63,Pull,13.0,38.21,2025-01-11,496.73,0.25228731082133943
58,Robe,5.0,61.87,03/11/2024,309.34999999999997,0.15711770902216765
62,Lunettes de soleil,1.1,75.76,29/01/2025,83.33600000000001,0.042326042990371314
97,Cravate,1.3,66.4,2024-08-03,86.32000000000001,0.04384160543977215
88,Chaussures,,42.33,2024-10-16,,
52,Chemise,5.3,29.01,invalid_date,153.75300000000001,0.07809057415640971
80,Chemise,12.3,69.58,2023-05-31,855.8340000000001,0.43467489052296054
90,Chaussures,4.9,37.1,invalid_date,181.79000000000002,0.0923304616878612
67,Robe,12.8,47.69,invalid_date,610.432,0.31003613174016437
93,Pantalon,6.4,54.8,13/04/2025,350.72,0.17812937743091853
67,Cravate,,36.58,invalid_date,,
64,Cravate,,39.75,2024-11-21,,
86,Pantalon,,23.42,invalid_date,,
87,Pull,9.1,18.55,2024-09-11,168.805,0.08573542871015682
35,Lunettes de soleil,,81.99,2024-05-17,,
87,Montre,,80.12,invalid_date,,
6,Pantalon,,11.11,invalid_date,,
65,Cravate,,46.29,2024-12-24,,
72,Chemise,,90.11,invalid_date,,
86,Montre,,84.28,12/03/2025,,
43,Montre,,74.43,2024-01-29,,
59,Cravate,14.6,78.14,invalid_date,1140.844,0.5794304044987421
87,Pantalon,,51.16,16/11/2024,,
100,Chaussures,14.1,75.74,2024-07-26,1067.934,0.542399687948536
50,Pull,,47.68,17/10/2023,,
51,Pull,,82.43,25/11/2023,,
78,Robe,,74.07,2024-12-01,,
27,Robe,14.0,98.32,invalid_date,1376.48,0.6991090483750876
96,Robe,,82.75,2024-11-08,,
49,Chaussures,2.0,27.99,24/11/2024,55.98,0.028432032814161776
97,Chemise,,19.22,invalid_date,,
83,Lunettes de soleil,,72.36,05/01/2024,,
50,Lunettes de soleil,,96.92,2023-11-10,,
70,Cravate,15.7,36.48,invalid_date,572.7359999999999,0.2908904742024251
74,Pull,,57.29,invalid_date,,
9,Chaussures,,18.28,2024-07-22,,
97,Chemise,,50.11,2024-05-08,,
25,Pull,10.8,25.07,invalid_date,270.75600000000003,0.1375159606400712
27,Lunettes de soleil,13.3,77.22,2024-12-19,1027.026,0.5216226676133854
41,Chemise,8.4,58.14,invalid_date,488.37600000000003,0.24804434543853293
75,Chemise,14.3,42.19,22/12/2023,603.317,0.3064224498274677
38,Chaussures,,96.17,invalid_date,,
71,Pantalon,,29.06,2023-10-19,,
24,Cravate,,27.49,invalid_date,,
73,Chemise,,68.02,11/01/2024,,
46,Chaussures,13.8,19.0,2024-07-09,262.2,0.1331704002120975
41,Montre,,72.41,invalid_date,,
60,Montre,,53.83,2023-08-28,,
83,Pantalon,17.0,90.22,26/12/2024,1533.74,0.7789808147265539
94,Pantalon,14.8,86.46,invalid_date,1279.608,0.6499081215659864
70,Montre,13.4,42.92,invalid_date,575.128,0.2921053620640092
94,Robe,3.5,45.71,invalid_date,159.985,0.08125578366869725
31,Chaussures,15.4,50.16,invalid_date,772.4639999999999,0.3923315790596403
73,Chaussures,,94.53,2023-10-12,,
98,Montre,,43.25,invalid_date,,
27,Pull,,89.34,invalid_date,,
70,Chaussures,,42.88,invalid_date,,
63,Montre,17.9,55.17,21/09/2024,987.543,0.5015693994533006
22,Cravate,,29.04,2024-11-05,,
47,Pantalon,,83.01,14/09/2023,,
32,Chemise,3.4,22.13,invalid_date,75.24199999999999,0.03821513063599786
73,Chemise,,95.25,04/01/2025,,
77,Pantalon,,21.9,2024-09-13,,
67,Lunettes de soleil,16.7,25.97,invalid_date,433.69899999999996,0.22027410145532597
65,Pantalon,2.8,91.18,invalid_date,255.304,0.1296679475810425
25,Chemise,14.5,62.02,invalid_date,899.2900000000001,0.45674603053675505
1,Lunettes de soleil,,46.8,2024-09-15,,
40,Pull,,76.22,invalid_date,,
71,Chemise,4.1,82.39,24/07/2023,337.799,0.1715668498140592
77,Lunettes de soleil,,29.96,invalid_date,,
26,Robe,4.7,65.37,03/04/2024,307.23900000000003,0.15604554001054396
86,Lunettes de soleil,8.7,56.6,2024-08-25,492.41999999999996,0.25009827792693
53,Pantalon,,40.6,invalid_date,,
33,Robe,,60.69,19/03/2025,,
67,Chemise,,32.34,13/12/2023,,
74,Robe,4.5,54.91,2024-09-18,247.09499999999997,0.12549862715640056
95,Cravate,17.6,30.63,invalid_date,539.0880000000001,0.27380078073813585
36,Montre,,45.81,2024-07-17,,
89,Chemise,1.2,44.15,09/09/2023,52.98,0.026908344024549675
52,Robe,9.6,98.13,2024-01-15,942.0479999999999,0.478462658958833
93,Robe,,87.07,2024-12-23,,
81,Pull,,32.59,27/04/2024,,
13,Chaussures,,52.89,20/05/2024,,
3,Lunettes de soleil,3.3,61.92,29/03/2024,204.33599999999998,0.10378149083805932
57,Pull,,47.26,2025-04-11,,
13,Pantalon,,59.36,02/12/2023,,
30,Cravate,,66.38,invalid_date,,
60,Robe,11.4,97.26,invalid_date,1108.7640000000001,0.5631370923751567
32,Chaussures,,84.56,28/06/2024,,
58,Robe,,26.9,2023-10-09,,
7,Chemise,4.5,35.39,invalid_date,159.255,0.0808850193965583
57,Chemise,5.4,11.33,06/06/2024,61.182,0.031074109175349158
70,Montre,,83.55,2024-02-04,,
99,Cravate,,32.24,2024-10-23,,
47,Chemise,17.4,97.59,invalid_date,1698.066,0.8624413760738198
2,Chemise,,71.96,11/02/2025,,
8,Chemise,7.8,73.12,2023-06-19,570.336,0.28967152317073547
63,Montre,,27.08,invalid_date,,
45,Pull,,88.09,2024-03-30,,
20,Robe,,19.94,2024-05-14,,
17,Chaussures,17.6,19.63,2023-07-03,345.488,0.175472064181835
5,Lunettes de soleil,,14.42,invalid_date,,
92,Pantalon,1.2,69.02,29/12/2024,82.824,0.04206600010361084
82,Chemise,,83.98,invalid_date,,
35,Chemise,,17.01,invalid_date,,
13,Pantalon,,27.05,invalid_date,,
51,Chemise,,63.62,22/09/2024,,
1,Robe,19.7,87.01,invalid_date,1714.097,0.8705834610692437
36,Chaussures,,42.01,23/11/2024,,
28,Pantalon,,25.56,invalid_date,,
83,Robe,,17.06,02/04/2024,,
45,Lunettes de soleil,8.9,88.28,invalid_date,785.692,0.39905003082930324
84,Chemise,,14.87,30/04/2025,,
97,Pantalon,,80.77,2023-08-21,,
26,Montre,8.5,60.51,2024-11-28,514.335,0.2612288245350464
10,Robe,,71.63,2024-06-20,,
97,Pantalon,3.1,31.87,23/07/2024,98.79700000000001,0.05017862711576887
62,Chaussures,14.2,43.89,19/06/2024,623.2379999999999,0.3165402512867552
22,Chemise,,14.78,2024-12-21,,
50,Robe,,87.79,23/03/2025,,
84,Lunettes de soleil,,55.77,22/12/2023,,
63,Pantalon,,60.46,2025-01-11,,
32,Robe,,77.0,08/04/2024,,
43,Montre,11.3,68.72,2024-12-05,776.5360000000001,0.3943997326434071
40,Chaussures,9.2,69.06,19/08/2024,635.352,0.32269290661920885
53,Robe,,23.68,2024-06-05,,
17,Chaussures,,64.5,invalid_date,,
61,Chaussures,4.1,12.9,03/01/2025,52.88999999999999,0.02686263336086131
53,Cravate,15.1,78.2,2024-07-17,1180.82,0.5997340655165864
96,Chemise,,51.12,2023-10-15,,
67,Lunettes de soleil,19.7,60.19,2023-11-23,1185.743,0.6022344388203399
22,Lunettes de soleil,6.6,72.1,13/01/2025,475.85999999999996,0.2416875158082712
83,Montre,2.7,26.18,24/06/2023,70.686,0.03590115526084029
53,Pull,9.6,50.83,20/12/2024,487.96799999999996,0.24783712376314565
12,Robe,7.2,74.65,2024-05-23,537.48,0.27298408354690373
66,Chaussures,,13.95,16/03/2024,,
73,Chaussures,4.1,26.1,26/01/2025,107.00999999999999,0.054349979125463584
40,Robe,,35.99,2025-02-17,,
19,Chemise,,39.8,2023-08-07,,
14,Lunettes de soleil,19.9,70.49,27/04/2024,1402.7509999999997,0.7124519911057207
49,Pantalon,15.4,36.35,2025-04-28,559.7900000000001,0.28431524917898576
89,Robe,,57.22,invalid_date,,
94,Montre,10.4,89.53,invalid_date,931.1120000000001,0.4729083054244338
38,Cravate,1.0,51.84,invalid_date,51.84,0.02632934228449708
27,Lunettes de soleil,,41.47,2023-12-13,,
43,Montre,,93.5,invalid_date,,
69,Chaussures,,26.86,10/04/2025,,
68,Robe,15.7,79.25,invalid_date,1244.225,0.6319372280850382
87,Chaussures,4.9,51.34,2025-05-06,251.56600000000003,0.12776943134918584
40,Chemise,14.1,40.0,2023-11-14,564.0,0.2864534924470747
67,Robe,,67.5,23/04/2024,,
26,Cravate,,79.55,01/01/2025,,
20,Chaussures,6.2,96.25,2024-09-25,596.75,0.3030870950670068
32,Chaussures,,58.65,2024-04-30,,
4,Montre,18.2,19.53,2024-11-11,355.446,0.1805296951708208
26,Pantalon,,61.1,invalid_date,,
60,Pantalon,,52.35,2025-01-29,,
76,Montre,7.2,83.98,06/09/2024,604.6560000000001,0.3071025229238979
52,Pantalon,,39.47,2025-03-28,,
28,Chaussures,17.9,78.14,02/11/2024,1398.706,0.7103975507210604
49,Lunettes de soleil,11.4,52.74,invalid_date,601.236,0.3053655177037401
50,Pull,17.0,35.96,2023-05-29,611.32,0.31048714362188956
24,Montre,,44.62,2024-10-29,,
67,Pantalon,10.9,32.07,invalid_date,349.563,0.17754174145439144
82,Robe,,58.15,02/12/2023,,
80,Chemise,6.4,21.41,12/08/2023,137.024,0.06959397756926944
33,Chaussures,,87.21,invalid_date,,
34,Cravate,10.2,40.86,2024-08-10,416.772,0.2116769414080713
77,Chaussures,,79.33,invalid_date,,
7,Chaussures,,37.12,24/03/2024,,
